¦  (\u00a6) 287582 := BROKEN BAR
υ  (\u03c5)   103 := GREEK SMALL LETTER UPSILON
χ  (\u03c7)    81 := GREEK SMALL LETTER CHI
ψ  (\u03c8)     6 := GREEK SMALL LETTER PSI
ω  (\u03c9)   232 := GREEK SMALL LETTER OMEGA
ϊ  (\u03ca)     5 := GREEK SMALL LETTER IOTA WITH DIALYTIKA
ϋ  (\u03cb)     2 := GREEK SMALL LETTER UPSILON WITH DIALYTIKA
ϕ  (\u03d5)    87 := GREEK PHI SYMBOL
ϝ  (\u03dd)    37 := GREEK SMALL LETTER DIGAMMA
ϳ  (\u03f3)     3 := GREEK LETTER YOT
آ  (\u0622)     1 := ARABIC LETTER ALEF WITH MADDA ABOVE
إ  (\u0625)     4 := ARABIC LETTER ALEF WITH HAMZA BELOW
ا  (\u0627)    51 := ARABIC LETTER ALEF
ب  (\u0628)    19 := ARABIC LETTER BEH
ة  (\u0629)     4 := ARABIC LETTER TEH MARBUTA
ت  (\u062a)    17 := ARABIC LETTER TEH
ث  (\u062b)     2 := ARABIC LETTER THEH
ج  (\u062c)     4 := ARABIC LETTER JEEM
ح  (\u062d)    12 := ARABIC LETTER HAH
خ  (\u062e)     6 := ARABIC LETTER KHAH
د  (\u062f)    25 := ARABIC LETTER DAL
ذ  (\u0630)     1 := ARABIC LETTER THAL
ر  (\u0631)    34 := ARABIC LETTER REH
ز  (\u0632)     7 := ARABIC LETTER ZAIN
س  (\u0633)     9 := ARABIC LETTER SEEN
ش  (\u0634)    17 := ARABIC LETTER SHEEN
ص  (\u0635)     7 := ARABIC LETTER SAD
ع  (\u0639)     8 := ARABIC LETTER AIN
غ  (\u063a)     5 := ARABIC LETTER GHAIN
ف  (\u0641)     8 := ARABIC LETTER FEH
ق  (\u0642)    10 := ARABIC LETTER QAF
ك  (\u0643)     7 := ARABIC LETTER KAF
ل  (\u0644)    25 := ARABIC LETTER LAM
م  (\u0645)    41 := ARABIC LETTER MEEM
ن  (\u0646)    29 := ARABIC LETTER NOON
ه  (\u0647)    28 := ARABIC LETTER HEH
و  (\u0648)    20 := ARABIC LETTER WAW
ى  (\u0649)     3 := ARABIC LETTER ALEF MAKSURA
ي  (\u064a)    22 := ARABIC LETTER YEH
ٍ  (\u064d)     1 := ARABIC KASRATAN
َ  (\u064e)     4 := ARABIC FATHA
ُ  (\u064f)     3 := ARABIC DAMMA
ِ  (\u0650)    11 := ARABIC KASRA
ّ  (\u0651)     2 := ARABIC SHADDA
ْ  (\u0652)     6 := ARABIC SUKUN
پ  (\u067e)     9 := ARABIC LETTER PEH
ٿ  (\u067f)     1 := ARABIC LETTER TEHEH
گ  (\u06af)     2 := ARABIC LETTER GAF
ۀ  (\u06c0)     1 := ARABIC LETTER HEH WITH YEH ABOVE
ँ  (\u0901)     2 := DEVANAGARI SIGN CANDRABINDU
ᳲ  (\u1cf2)     1 := VEDIC SIGN ARDHAVISARGA
ḃ  (\u1e03)     1 := LATIN SMALL LETTER B WITH DOT ABOVE
Ḍ  (\u1e0c)    17 := LATIN CAPITAL LETTER D WITH DOT BELOW
ḍ  (\u1e0d)  2916 := LATIN SMALL LETTER D WITH DOT BELOW
ḥ  (\u1e25)   127 := LATIN SMALL LETTER H WITH DOT BELOW
ḻ  (\u1e3b)     5 := LATIN SMALL LETTER L WITH LINE BELOW
ṃ  (\u1e43)  3304 := LATIN SMALL LETTER M WITH DOT BELOW
ṅ  (\u1e45)  3618 := LATIN SMALL LETTER N WITH DOT ABOVE
ṇ  (\u1e47) 20223 := LATIN SMALL LETTER N WITH DOT BELOW
ṉ  (\u1e49)     2 := LATIN SMALL LETTER N WITH LINE BELOW
Ṛ  (\u1e5a)  1127 := LATIN CAPITAL LETTER R WITH DOT BELOW
ṛ  (\u1e5b) 12222 := LATIN SMALL LETTER R WITH DOT BELOW
Ṣ  (\u1e62)   223 := LATIN CAPITAL LETTER S WITH DOT BELOW
ṣ  (\u1e63)  9921 := LATIN SMALL LETTER S WITH DOT BELOW
Ṭ  (\u1e6c)    13 := LATIN CAPITAL LETTER T WITH DOT BELOW
ṭ  (\u1e6d)  6267 := LATIN SMALL LETTER T WITH DOT BELOW
ẓ  (\u1e93)     1 := LATIN SMALL LETTER Z WITH DOT BELOW
ἀ  (\u1f00)    47 := GREEK SMALL LETTER ALPHA WITH PSILI
ἁ  (\u1f01)     5 := GREEK SMALL LETTER ALPHA WITH DASIA
ἄ  (\u1f04)    35 := GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA
ἅ  (\u1f05)     7 := GREEK SMALL LETTER ALPHA WITH DASIA AND OXIA
Ἀ  (\u1f08)     2 := GREEK CAPITAL LETTER ALPHA WITH PSILI
Ἄ  (\u1f0c)     1 := GREEK CAPITAL LETTER ALPHA WITH PSILI AND OXIA
ἐ  (\u1f10)    38 := GREEK SMALL LETTER EPSILON WITH PSILI
ἑ  (\u1f11)     7 := GREEK SMALL LETTER EPSILON WITH DASIA
ἔ  (\u1f14)    29 := GREEK SMALL LETTER EPSILON WITH PSILI AND OXIA
ἕ  (\u1f15)     8 := GREEK SMALL LETTER EPSILON WITH DASIA AND OXIA
Ἐ  (\u1f18)     2 := GREEK CAPITAL LETTER EPSILON WITH PSILI
Ἑ  (\u1f19)     1 := GREEK CAPITAL LETTER EPSILON WITH DASIA
ἠ  (\u1f20)     5 := GREEK SMALL LETTER ETA WITH PSILI
ἡ  (\u1f21)     5 := GREEK SMALL LETTER ETA WITH DASIA
ἥ  (\u1f25)     6 := GREEK SMALL LETTER ETA WITH DASIA AND OXIA
ἧ  (\u1f27)     3 := GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI
Ἥ  (\u1f2d)     1 := GREEK CAPITAL LETTER ETA WITH DASIA AND OXIA
ἰ  (\u1f30)    23 := GREEK SMALL LETTER IOTA WITH PSILI
ἱ  (\u1f31)     6 := GREEK SMALL LETTER IOTA WITH DASIA
ἴ  (\u1f34)    11 := GREEK SMALL LETTER IOTA WITH PSILI AND OXIA
ἵ  (\u1f35)     3 := GREEK SMALL LETTER IOTA WITH DASIA AND OXIA
ἶ  (\u1f36)     9 := GREEK SMALL LETTER IOTA WITH PSILI AND PERISPOMENI
ἷ  (\u1f37)     2 := GREEK SMALL LETTER IOTA WITH DASIA AND PERISPOMENI
ὀ  (\u1f40)    24 := GREEK SMALL LETTER OMICRON WITH PSILI
ὁ  (\u1f41)    10 := GREEK SMALL LETTER OMICRON WITH DASIA
ὄ  (\u1f44)    21 := GREEK SMALL LETTER OMICRON WITH PSILI AND OXIA
ὅ  (\u1f45)     5 := GREEK SMALL LETTER OMICRON WITH DASIA AND OXIA
Ὀ  (\u1f48)     2 := GREEK CAPITAL LETTER OMICRON WITH PSILI
ὐ  (\u1f50)    15 := GREEK SMALL LETTER UPSILON WITH PSILI
ὑ  (\u1f51)    16 := GREEK SMALL LETTER UPSILON WITH DASIA
ὔ  (\u1f54)     2 := GREEK SMALL LETTER UPSILON WITH PSILI AND OXIA
ὕ  (\u1f55)     5 := GREEK SMALL LETTER UPSILON WITH DASIA AND OXIA
ὖ  (\u1f56)     6 := GREEK SMALL LETTER UPSILON WITH PSILI AND PERISPOMENI
ὗ  (\u1f57)     1 := GREEK SMALL LETTER UPSILON WITH DASIA AND PERISPOMENI
Ὕ  (\u1f5d)     1 := GREEK CAPITAL LETTER UPSILON WITH DASIA AND OXIA
ὠ  (\u1f60)     7 := GREEK SMALL LETTER OMEGA WITH PSILI
ὡ  (\u1f61)     1 := GREEK SMALL LETTER OMEGA WITH DASIA
ὤ  (\u1f64)     2 := GREEK SMALL LETTER OMEGA WITH PSILI AND OXIA
ὥ  (\u1f65)     2 := GREEK SMALL LETTER OMEGA WITH DASIA AND OXIA
ὦ  (\u1f66)     2 := GREEK SMALL LETTER OMEGA WITH PSILI AND PERISPOMENI
ά  (\u1f71)    97 := GREEK SMALL LETTER ALPHA WITH OXIA
ὲ  (\u1f72)     1 := GREEK SMALL LETTER EPSILON WITH VARIA
έ  (\u1f73)   175 := GREEK SMALL LETTER EPSILON WITH OXIA
ή  (\u1f75)    77 := GREEK SMALL LETTER ETA WITH OXIA
ί  (\u1f77)   142 := GREEK SMALL LETTER IOTA WITH OXIA
ό  (\u1f79)   174 := GREEK SMALL LETTER OMICRON WITH OXIA
ὺ  (\u1f7a)     1 := GREEK SMALL LETTER UPSILON WITH VARIA
ύ  (\u1f7b)   108 := GREEK SMALL LETTER UPSILON WITH OXIA
ώ  (\u1f7d)    29 := GREEK SMALL LETTER OMEGA WITH OXIA
ᾱ  (\u1fb1)     4 := GREEK SMALL LETTER ALPHA WITH MACRON
ᾶ  (\u1fb6)     6 := GREEK SMALL LETTER ALPHA WITH PERISPOMENI
᾽  (\u1fbd)     3 := GREEK KORONIS
ῆ  (\u1fc6)    15 := GREEK SMALL LETTER ETA WITH PERISPOMENI
ΐ  (\u1fd3)     1 := GREEK SMALL LETTER IOTA WITH DIALYTIKA AND OXIA
ῖ  (\u1fd6)    27 := GREEK SMALL LETTER IOTA WITH PERISPOMENI
ῡ  (\u1fe1)     1 := GREEK SMALL LETTER UPSILON WITH MACRON
ῥ  (\u1fe5)     9 := GREEK SMALL LETTER RHO WITH DASIA
ῦ  (\u1fe6)    17 := GREEK SMALL LETTER UPSILON WITH PERISPOMENI
ῶ  (\u1ff6)    10 := GREEK SMALL LETTER OMEGA WITH PERISPOMENI
—  (\u2014) 262592 := EM DASH
‘  (\u2018) 20732 := LEFT SINGLE QUOTATION MARK
’  (\u2019) 20732 := RIGHT SINGLE QUOTATION MARK
…  (\u2026)    13 := HORIZONTAL ELLIPSIS
√  (\u221a) 15611 := SQUARE ROOT
⋎  (\u22ce)     1 := CURLY LOGICAL OR
